,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,module
0,GO:BP,GO:0045229,external encapsulating structure organization,3.6008805022964403e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",309,106,12,26963,0.11320754716981132,0.038834951456310676,query_1,['GO:0016043'],Glut-M1
1,GO:BP,GO:0043062,extracellular structure organization,3.6008805022964403e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",311,106,12,26963,0.11320754716981132,0.03858520900321544,query_1,['GO:0016043'],Glut-M1
2,GO:BP,GO:0030198,extracellular matrix organization,3.6008805022964403e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."" [GOC:mah]",309,106,12,26963,0.11320754716981132,0.038834951456310676,query_1,"['GO:0043062', 'GO:0045229']",Glut-M1
3,GO:BP,GO:0048731,system development,9.899668469824914e-06,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4123,106,40,26963,0.37735849056603776,0.009701673538685424,query_1,"['GO:0007275', 'GO:0048856']",Glut-M1
4,GO:BP,GO:0007275,multicellular organism development,9.899668469824914e-06,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4886,106,44,26963,0.41509433962264153,0.009005321326238231,query_1,"['GO:0032501', 'GO:0048856']",Glut-M1
5,GO:BP,GO:0072359,circulatory system development,2.530106491936725e-05,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1220,106,20,26963,0.18867924528301888,0.01639344262295082,query_1,['GO:0048731'],Glut-M1
6,GO:BP,GO:0007155,cell adhesion,9.463264683907937e-05,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1468,106,21,26963,0.19811320754716982,0.01430517711171662,query_1,['GO:0009987'],Glut-M1
7,GO:BP,GO:0048513,animal organ development,0.0002102293770618683,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3267,106,32,26963,0.3018867924528302,0.009794918885827977,query_1,['GO:0048856'],Glut-M1
8,GO:BP,GO:0010646,regulation of cell communication,0.00021812266750268896,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3639,106,34,26963,0.32075471698113206,0.00934322616103325,query_1,"['GO:0007154', 'GO:0050794']",Glut-M1
9,GO:BP,GO:0071495,cellular response to endogenous stimulus,0.0002515022739811523,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1321,106,19,26963,0.1792452830188679,0.014383043149129448,query_1,['GO:0009719'],Glut-M1
