source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,cluster
GO:BP,GO:0048522,positive regulation of cellular process,3.391644435014977e-29,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",6243,208,128,26963,0.6153846153846154,0.020502963318917187,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']",0
GO:BP,GO:0048518,positive regulation of biological process,3.332258175032547e-28,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6584,208,130,26963,0.625,0.01974483596597813,query_1,"['GO:0008150', 'GO:0050789']",0
GO:BP,GO:0051239,regulation of multicellular organismal process,1.6233135807462454e-27,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",3145,208,90,26963,0.4326923076923077,0.028616852146263912,query_1,"['GO:0032501', 'GO:0050789']",0
GO:BP,GO:0006950,response to stress,6.551471420348822e-25,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3966,208,97,26963,0.46634615384615385,0.024457892082702975,query_1,['GO:0050896'],0
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,3.33672103062097e-24,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3404,208,89,26963,0.42788461538461536,0.026145710928319625,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']",0
GO:BP,GO:0007275,multicellular organism development,4.4067979832331483e-23,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4886,208,105,26963,0.5048076923076923,0.02148997134670487,query_1,"['GO:0032501', 'GO:0048856']",0
GO:BP,GO:0002376,immune system process,7.722552772080189e-23,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2866,208,80,26963,0.38461538461538464,0.027913468248429867,query_1,['GO:0008150'],0
GO:BP,GO:0002682,regulation of immune system process,2.4741041451606663e-22,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1590,208,60,26963,0.28846153846153844,0.03773584905660377,query_1,"['GO:0002376', 'GO:0050789']",0
GO:BP,GO:0009893,positive regulation of metabolic process,4.638835278682384e-22,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3725,208,90,26963,0.4326923076923077,0.024161073825503355,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']",0
GO:BP,GO:0035556,intracellular signal transduction,6.354299585107925e-22,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2885,208,79,26963,0.3798076923076923,0.027383015597920276,query_1,['GO:0007165'],0
